,,,,,,,,,"Number of I-485 Applications to Register Permanent Residence or Adjust Status by Category of              
Admission, Case Status, and USCIS Field Office or Service Center Location              
July 1 - September 30, 2017  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 USCIS Field Office or Service Center Location ,,, Applications by Category of Admission and Case Status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, Family-based ,,,,Employment-based received at service center1,,,,Humanitarian-based1,,,,Others1,,,, Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,Applications Received2,Approved3,Denied4,Pending5,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total ,,,"87,734","71,142","9,708","314,939","23,032","23,459","2,127","149,382","49,862","40,940","1,221","131,089","4,958","6,654","1,232","28,948","165,586","142,195","14,288","624,358",,,,,,,,,,,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Alabama ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Mount Laurel , MTL , 719 , 751 , 94 ," 2,092 ", -   , 10 , D , 92 , 11 , 22 , D , 56 , D , 15 , D , 14 , 731 , 798 , 101 ," 2,254 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Newark  , NEW ," 3,401 "," 2,648 ", 470 ," 13,950 ", -   , 46 , 27 , 627 , 253 , 173 , 12 , 941 , 33 , 30 , 14 , 159 ," 3,687 "," 2,897 ", 523 ," 15,677 ",,,,,,,,,,,,,,,,,,,,,,,,,
 New Mexico ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Albuquerque  , ABQ , 284 , 447 , 22 , 828 , -   , D , D , 59 , 49 , 371 , D , 313 , D , 11 , -   , 12 , 336 , 834 , 27 ," 1,212 ",,,,,,,,,,,,,,,,,,,,,,,,,
 New York ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Albany  , ALB , 204 , 136 , 25 , 488 , -   , D , -   , 37 , -   , -   , -   , 14 , D , D , -   , D , 206 , 144 , 25 , 542 ,,,,,,,,,,,,,,,,,,,,,,,,,
, Buffalo  , BUF , 292 , 326 , 35 , 715 , -   , D , -   , 55 , 177 , 100 , D , 357 , D , D , D , D , 471 , 435 , 41 ," 1,130 ",,,,,,,,,,,,,,,,,,,,,,,,,
, Long Island , LNY ," 2,160 "," 1,773 ", 224 ," 9,735 ", -   , 24 , D , 178 , 11 , 21 , D , 119 , 45 , 37 , 22 , 542 ," 2,216 "," 1,855 ", 251 ," 10,574 ",,,,,,,,,,,,,,,,,,,,,,,,,
, New York  , NYC ," 5,585 "," 5,094 ", 947 ," 26,221 ", -   , 101 , 18 , 524 , 42 , 105 , 29 , 679 , 92 , 270 , 118 , 564 ," 5,719 "," 5,570 "," 1,112 "," 27,988 ",,,,,,,,,,,,,,,,,,,,,,,,,
